id_listing,number_of_rooms,metro_on_foot,area_m2,building_info,price,renovation,bathroom
271271157,4,9,200,2,500000,3,0
271634126,4,8,198,3,500000,3,1
271173086,4,7,200,1,500000,2,1
272197456,4,3,170,1,400000,2,1
273614615,2,7,58,0,225000,2,0
274837728,3,5,92,1,470000,3,0
273643908,5,4,213,1,350000,2,0
274475342,3,3,98,2,250000,2,0
273973191,3,9,120,2,130000,2,0
272900409,4,10,90,2,210000,2,0
271036964,4,5,170,1,290000,2,1
273999490,3,2,80,1,100000,2,0
274017037,3,8,100,1,200000,3,0
273231024,5,9,180,2,500000,3,1
274839211,5,5,222,2,450000,2,0
274767901,5,6,225,2,450000,3,0
274995950,2,10,30,1,120000,2,0
274945807,5,5,222,1,450000,3,0
272911145,5,12,150,1,180000,2,0
274748017,5,6,201,1,190000,2,1
273941734,2,9,64,1,205000,2,0
274493570,3,5,112,1,230000,2,0
274849101,4,5,190,1,590000,3,0
223918678,5,8,255,2,850000,2,1
274391259,5,5,186,4,190000,2,0
272945376,3,5,100,1,200000,2,0
272612966,5,11,150,1,200000,2,0
271568490,5,7,140,1,300000,3,0
264664760,3,15,132,2,400000,2,0
228923308,5,10,256,3,750000,3,0
267489303,6,5,380,4,870000,0,1
273353104,3,7,112,3,350000,0,0
273353103,2,7,91,3,400000,0,0
268321690,3,11,135,3,400000,3,0
269496185,4,3,190,3,590000,3,0
272188531,2,15,44,1,135000,0,0
272727784,3,7,85,1,150000,2,0
267110043,2,7,100,3,320000,0,0
265323319,3,7,133,3,400000,0,0
265804792,4,7,210,1,400000,0,3
239000408,4,9,180,1,450000,0,0
271209314,4,5,165,3,470000,0,0
269889430,4,6,190,1,590000,0,0
241704098,4,5,168,3,600000,0,0
239000331,5,8,250,3,850000,0,3
272823500,3,7,85,1,150000,2,0
274402813,3,5,105,3,195000,2,1
270190788,3,5,134,2,300000,2,0
271265359,2,5,60,1,90000,2,0
274289253,3,7,85,1,150000,3,0
274150874,5,4,150,1,250000,3,0
274849686,4,5,142,1,350000,2,0
274315381,5,6,222,1,450000,2,0
273779074,2,7,60,1,120000,0,0
274217247,3,8,103,1,120000,0,0
272156997,5,5,170,1,175000,2,0
274617827,5,8,200,1,190000,2,0
274252871,3,5,105,2,240000,0,1
269132104,1,10,60,3,250000,2,0
273911217,5,6,155,1,250000,3,0
269716469,3,5,134,3,300000,2,0
274137125,5,8,214,1,500000,3,3
274140104,5,5,204,2,500000,0,3
271258034,5,9,180,1,500000,2,0
166833883,6,6,260,1,590000,3,2
273798495,4,6,237,2,650000,3,1
274810876,4,4,215,1,700000,2,1
274199925,3,8,100,1,115000,0,0
274223065,2,8,60,1,120000,3,0
271264562,5,5,170,4,175000,2,0
272632345,3,6,98,1,185000,0,0
274018110,2,5,175,3,200000,0,0
274029603,4,5,180,1,350000,2,1
274548856,4,6,132,3,350000,3,0
271766412,6,4,228,1,400000,2,0
269165004,3,2,92,3,470000,0,0
274105576,5,5,204,1,500000,2,3
273785180,4,4,160,1,650000,2,1
273785183,4,4,140,1,650000,2,1
273785185,4,4,140,1,700000,2,1
274528249,1,3,45,1,120000,3,0
274431438,3,3,65,1,130000,2,0
274064272,3,5,87,1,140000,2,0
273078340,3,6,90,1,145000,3,0
274359655,4,7,180,1,350000,2,3
272226556,4,10,180,1,400000,3,0
273114736,4,5,170,1,650000,3,0
274319903,3,3,75,1,99000,0,0
273427928,3,11,87,1,100000,3,0
274296188,3,8,105,1,180000,0,0
272887177,3,5,99,1,200000,0,0
269319175,1,7,60,2,250000,0,0
269687656,4,6,140,1,280000,2,0
274501292,3,8,120,1,300000,3,0
261980888,3,6,133,2,400000,0,0
272567246,4,4,180,3,400000,0,1
274930877,4,5,219,2,450000,0,1
273576298,3,6,130,1,450000,0,0
271108834,5,8,180,3,500000,3,1
256631457,4,8,190,1,520000,0,0
271988698,3,9,174,2,550000,3,0
271305644,6,12,336,1,590000,3,0
271097684,4,2,170,2,650000,3,1
273106501,6,5,338,1,650000,0,1
274066192,2,8,52,0,80000,0,0
273763131,3,4,91,1,95000,1,0
273684904,2,9,56,0,105000,0,0
271542995,3,8,80,4,120000,0,0
273012299,2,8,94,1,135000,0,0
270282698,2,7,40,2,135000,0,0
274336333,3,7,94,1,145000,2,0
272244255,3,6,90,1,145000,0,0
272701749,2,7,120,4,165000,0,0
271204399,5,7,170,1,175000,2,0
274879736,3,5,140,4,180000,0,0
271827359,3,7,41,1,180000,3,0
256631941,3,7,120,4,190000,0,0
272917777,3,10,95,2,200000,2,0
252536547,4,4,130,1,220000,0,0
274434108,3,7,70,0,230000,3,0
272559990,4,7,63,1,270000,3,0
269465572,4,7,189,1,330000,2,0
263779667,2,4,120,1,330000,0,0
272128059,4,8,212,1,350000,3,0
224335583,4,12,111,1,350000,2,1
271627634,2,7,92,1,350000,3,0
274700592,4,4,132,1,350000,1,0
273231375,4,5,202,1,360000,3,0
271586905,2,7,123,1,400000,3,0
274315960,3,10,130,1,450000,3,0
272845144,3,15,180,1,450000,3,0
274743086,5,4,220,2,450000,2,1
271776317,4,6,180,1,450000,2,0
267884643,4,15,206,3,470000,3,1
274252226,5,6,215,2,500000,2,4
273970263,4,7,195,1,520000,3,0
269515978,4,4,186,1,590000,0,0
267915862,6,5,336,1,590000,3,3
273687210,6,4,380,1,650000,2,3
274009456,2,5,53,1,80000,2,0
274723871,2,10,53,0,80000,2,0
274548003,2,6,60,1,90000,0,0
229808794,1,9,30,1,95000,3,0
274903280,3,6,80,1,100000,2,0
271439388,3,5,68,1,100000,2,0
273474991,2,10,55,2,105000,2,0
274135582,2,2,55,1,110000,2,0
274880892,3,9,103,1,120000,3,0
271716464,3,10,80,1,120000,2,0
271249218,2,5,65,1,130000,3,0
274012210,2,5,98,4,135000,2,0
269317588,2,9,40,2,135000,3,0
273650910,2,9,89,1,135000,2,0
273823802,3,6,90,1,145000,3,0
272821193,3,5,90,1,150000,2,0
274103646,3,6,100,4,150000,0,0
236632140,2,9,43,2,150000,3,0
274478078,3,8,110,2,160000,2,0
272710931,2,7,120,4,165000,2,0
272047599,3,6,117,1,170000,2,0
273235893,3,10,120,3,180000,2,0
271487126,4,10,96,1,180000,2,0
236952590,2,8,120,4,190000,0,0
267882068,3,9,120,1,195000,3,0
271577440,2,10,75,3,200000,3,0
273795577,3,5,99,2,200000,3,0
271764581,4,10,130,4,220000,3,0
274744370,3,8,120,1,230000,3,0
274442273,3,7,105,2,250000,2,0
273689040,3,9,115,2,250000,2,0
274455073,5,7,165,1,250000,2,1
272262503,1,10,65,1,270000,3,0
267127816,2,20,76,3,270000,2,0
274999073,3,4,126,1,300000,2,0
273894772,3,10,124,1,300000,2,0
274085397,2,5,130,1,330000,3,0
269357269,4,5,190,1,330000,2,0
273906122,4,4,178,2,350000,3,0
241709509,4,15,135,2,350000,2,0
267357413,4,7,130,1,350000,3,0
268872145,4,10,212,1,350000,2,1
272718014,4,7,178,3,350000,2,0
274095176,4,5,201,1,360000,3,1
272406227,5,9,181,1,370000,3,1
269938440,2,15,123,2,400000,2,0
265972115,3,8,129,2,400000,3,0
272294030,4,7,176,1,400000,2,3
271917911,4,9,190,2,400000,3,1
272096512,4,7,180,1,450000,2,0
271453191,4,10,247,1,500000,3,0
259213637,3,2,110,2,500000,3,0
271066176,5,7,180,1,500000,2,1
274431441,4,8,300,1,500000,2,1
274751643,3,9,190,2,500000,3,0
272470364,5,9,180,2,500000,3,0
271499362,4,6,209,2,550000,0,1
265591858,3,6,173,2,550000,3,0
267743247,6,7,336,1,590000,2,3
270598847,4,4,190,1,600000,2,0
271983799,6,6,258,1,600000,2,1
274686779,3,20,76,0,60000,0,0
274862000,1,123,35,2,36000,2,0
274747534,2,123,71,2,55000,2,0
273551383,1,20,41,0,36000,0,0
273693111,3,10,70,0,65000,2,0
273510895,1,20,40,0,30000,0,0
265111957,2,20,57,0,45000,0,0
267761830,1,20,42,2,35000,0,0
271601843,3,10,68,0,48000,2,0
275004836,3,11,82,0,55000,0,0
273907511,1,49,41,0,29999,0,0
235355662,1,20,37,0,38000,2,0
268903569,3,69,87,0,80000,0,0
274794055,3,54,84,0,95000,0,0
274455296,1,34,38,2,28000,0,0
274838267,1,20,38,0,28000,0,0
274905945,1,54,35,0,29000,0,0
273089522,1,74,30,2,30000,2,0
272169225,1,20,38,3,30000,0,0
274177400,1,20,40,0,30000,0,0
273379337,1,20,38,0,30000,0,0
274164058,1,8,38,0,32000,0,0
273764363,1,20,42,0,32000,0,0
274173656,1,12,44,0,35000,0,0
274063411,2,22,58,0,36000,0,0
236543080,1,49,36,0,38000,2,0
256888072,1,19,42,0,38000,2,0
271083068,1,19,41,2,40000,2,0
274622371,2,15,64,0,40000,0,0
274917579,2,10,55,2,40000,2,0
274922675,1,34,35,2,40000,2,0
274482454,2,10,63,0,40000,0,0
274099537,2,19,67,2,43000,2,0
167911714,1,10,38,0,45000,3,0
274632558,3,74,56,0,45000,0,0
273080406,3,9,75,0,45000,2,0
273202959,2,17,55,0,47000,2,0
270816267,3,18,82,0,65000,2,0
274580039,2,49,70,0,70000,3,0
274945662,1,15,40,0,26000,0,0
228335421,1,24,31,0,27000,2,0
256834307,1,24,35,0,29000,2,0
274687179,1,14,27,2,30000,2,0
230487451,1,49,40,0,30000,0,0
170068347,1,10,41,1,30000,2,0
273476724,1,13,32,0,30000,0,0
242234098,1,20,45,2,30000,0,0
271203810,1,15,38,0,32000,0,0
274831384,1,8,42,2,33000,0,0
274091308,1,18,39,0,33500,2,0
262355297,1,23,38,0,34000,0,0
273815149,1,39,46,0,38000,3,0
274259730,1,49,34,1,40000,3,0
272275267,1,27,44,1,40000,0,0
273151859,1,17,38,0,40000,0,0
274846125,2,54,55,2,44000,0,0
270525077,1,14,29,2,45000,0,0
262081183,2,24,57,0,47000,2,0
274460195,1,17,38,2,49000,2,0
274974124,2,15,44,2,54500,2,0
274055451,3,9,70,0,71000,2,0
274393865,3,29,87,2,80000,2,0
269265022,3,29,84,2,90000,3,0
273593681,3,19,77,2,92000,2,0
263724076,3,35,84,2,95000,3,0
274689762,3,15,96,0,100000,2,0
251618576,2,23,60,0,46000,2,0
186299640,1,10,38,0,32000,0,0
240575765,2,20,65,0,45000,2,0
238230007,1,24,43,2,38000,2,0
273672956,1,74,26,0,23000,2,0
274667443,1,9,36,0,34000,0,0
256518254,1,17,38,3,35000,2,0
265357607,1,74,30,1,35000,0,0
245971204,1,15,38,0,35000,0,0
274344079,2,74,50,2,38000,2,0
274267929,2,44,52,0,42000,0,0
273318241,1,15,40,2,43000,2,0
270883351,1,14,29,2,45000,0,0
273780889,2,22,56,2,45000,2,0
272536453,2,19,54,0,45000,2,0
268878838,2,12,64,0,49700,0,0
270572812,2,11,48,2,50000,2,0
269471423,5,5,124,0,100000,2,0
274741628,1,14,33,2,30000,0,0
274812555,1,20,37,0,32000,0,0
274939275,1,20,38,0,35000,2,0
274891201,1,24,40,0,35000,2,0
274792043,1,29,27,2,35000,0,0
274557406,1,34,27,2,35000,0,0
274537001,1,20,40,0,35500,0,0
274866930,1,10,41,2,39000,3,0
274917171,2,74,52,0,47000,0,0
274040469,3,6,102,1,330000,3,0
274159090,5,2,238,1,500000,2,1
271705861,5,4,234,4,500000,3,1
212024381,4,6,134,2,270000,3,0
268876926,4,5,108,1,230000,2,0
272945877,4,6,168,1,300000,2,0
273737770,3,8,160,1,150000,2,0
273632382,3,5,122,1,165000,3,0
266473705,3,5,133,2,170000,0,0
274665301,4,5,138,3,200000,0,1
274239480,4,5,126,4,350000,3,0
267738673,3,5,133,2,170000,2,0
274547960,4,4,145,1,200000,2,0
274968027,2,6,40,0,45000,0,0
273781555,2,4,71,1,115000,0,0
270949943,3,5,74,1,120000,2,0
274160822,5,5,143,1,260000,0,0
273997856,3,4,133,1,270000,0,0
274968426,2,5,39,0,45000,0,0
274617829,3,10,80,3,100000,2,0
273460010,3,5,115,1,110000,2,0
274042642,2,3,71,1,115000,3,0
273668901,3,15,110,1,120000,2,0
273387110,4,7,120,1,150000,2,1
271712915,3,4,140,2,190000,2,0
274941472,3,6,85,1,270000,0,0
274389673,4,5,133,2,270000,2,0
272948850,6,7,312,1,550000,2,1
274265622,1,5,25,1,48000,0,0
274736912,1,7,40,1,55000,2,0
270596945,2,7,61,1,70000,2,0
